code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
000001,平安银行,0.654,550.4587,,,,
000002,万科A,13.402,26.8617,0.0491,7331.9756,0.0553,6509.9458
000004,国农科技,2.8535,126.1609,0.1444,2493.0748,0.1082,3327.1719
000005,世纪星源,7.087,50.7972,0.1568,2295.9184,0.0584,6164.3836
000006,深振业A,,,0.0371,9703.504,0.0445,8089.8876
000007,全新好,4.6043,78.1878,0.3678,978.7928,0.2836,1269.3935
000008,神州高铁,3.5964,100.1001,,,0.054,6666.6667
000009,中国宝安,2.8136,127.95,0.2486,1448.1094,0.1511,2382.5281
000010,美丽生态,0.3657,984.4135,0.1736,2073.7327,0.1223,2943.5814
000011,深物业A,1.2257,293.7097,0.044,8181.8182,0.0362,9944.7514
000012,南玻A,4.4423,81.0391,2.3089,155.9184,0.8679,414.7943
000014,沙河股份,59.2043,6.0806,0.1311,2745.9954,0.2239,1607.8607
000016,深康佳A,3.4377,104.7212,0.9446,381.1137,0.3581,1005.3058
000017,深中华A,62.6447,5.7467,1.2957,277.8421,0.5289,680.658
000018,神州长城,1.086,331.4917,1.8073,199.1922,0.0321,11214.9533
000019,深深宝A,1.4007,257.0143,0.8099,444.4993,0.2234,1611.4593
000020,深华发A,0.7804,461.3019,1.8818,191.3062,0.3223,1116.9718
000021,深科技,4.9778,72.3211,11.3653,31.6754,1.4438,249.342
000022,深赤湾A,1.7228,208.9622,6.1564,58.4757,0.3679,978.5268
000023,深天地A,0.5222,689.391,0.2528,1424.0506,0.1551,2321.0832
000025,特力A,11.1659,32.241,3.9335,91.5215,0.7796,461.7753
000026,飞亚达A,3.1864,112.9802,0.3686,976.6685,0.3881,927.596
000027,深圳能源,1.7571,204.883,2.1555,167.0146,0.3519,1023.0179
000028,国药一致,1.1963,300.9279,2.7843,129.2964,0.6552,549.4505
000029,深深房A,8.0258,44.8553,0.0445,8089.8876,0.0467,7708.7794
000030,富奥股份,,,,,0.0,
000031,中粮地产,4.6109,78.0759,0.0304,11842.1053,0.039,9230.7692
000032,深桑达A,3.01,119.6013,0.4879,737.8561,0.2762,1303.4033
000033,*ST新都,1.3916,258.695,5.8963,61.0552,0.1857,1938.6107
000034,神州数码,4.7648,75.5541,2.2853,157.5286,0.8981,400.8462
000035,中国天楹,0.0956,3765.6904,,,0.0161,22360.2484
000036,华联控股,47.7514,7.539,0.0403,8933.0025,0.0399,9022.5564
000037,*ST南电A,0.9129,394.3477,0.3046,1181.8779,0.1325,2716.9811
000038,深大通,,,0.0799,4505.632,0.1,3600.0
000039,中集集团,1.4263,252.4013,0.8215,438.2228,0.3127,1151.2632
000040,东旭蓝天,46.5387,7.7355,0.132,2727.2727,0.1323,2721.0884
000042,中洲控股,8.4499,42.6041,0.0418,8612.4402,0.0563,6394.3162
000043,中航地产,1.8832,191.164,0.0512,7031.25,0.0583,6174.9571
000045,深纺织A,3.163,113.816,2.5164,143.0615,0.5925,607.5949
000046,泛海控股,4.0441,89.0186,0.0241,14937.7593,0.0314,11464.9682
000048,康达尔,11.1255,32.3581,1.518,237.1542,0.8352,431.0345
000049,德赛电池,0.8999,400.0444,2.3593,152.5876,0.5016,717.7033
000050,深天马A,2.2911,157.1298,1.8594,193.6108,0.3441,1046.2075
000055,方大集团,0.5325,676.0563,0.7686,468.3841,0.2334,1542.4165
000056,皇庭国际,2.3286,154.5993,0.0021,171428.5714,0.0018,200000.0
000058,深赛格,5.1638,69.7161,14.4755,24.8696,0.1668,2158.2734
000059,华锦股份,23.1884,15.525,1.7226,208.9864,0.4953,726.8322
000060,中金岭南,6.4634,55.6982,0.5897,610.4799,0.3751,959.7441
000061,农产品,7.8923,45.6141,2.206,163.1913,0.106,3396.2264
000062,深圳华强,30.3138,11.8758,0.057,6315.7895,0.1074,3351.9553
000063,中兴通讯,0.7928,454.0868,0.8671,415.177,0.238,1512.605
000065,北方国际,1.056,340.9091,0.8568,420.1681,0.2065,1743.3414
000066,中国长城,1.5003,239.952,2.2973,156.7057,0.7445,483.546
000068,华控赛格,2.019,178.3061,3.8507,93.4895,0.2133,1687.7637
000069,华侨城A,10.2469,35.1326,0.0962,3742.2037,0.1203,2992.5187
000070,特发信息,0.8946,402.4145,0.8681,414.6988,0.2815,1278.8632
000078,海王生物,1.1675,308.3512,2.1796,165.1679,0.4447,809.5345
000088,盐田港,6.6109,54.4555,127.0107,2.8344,0.0529,6805.293
000089,深圳机场,1.6132,223.1589,120.2676,2.9933,0.2448,1470.5882
000090,天健集团,2.2539,159.7231,0.1992,1807.2289,0.1643,2191.1138
000096,广聚能源,29.6407,12.1455,6.9006,52.1694,0.4628,777.8738
000099,中信海直,0.9991,360.3243,0.4597,783.1194,0.25,1440.0
000100,TCL集团,2.1816,165.0165,1.4553,247.3717,0.4607,781.4196
000150,宜华健康,1.6657,216.1254,0.0026,138461.5385,0.0067,53731.3433
000151,中成股份,9.185,39.1943,0.627,574.1627,0.1669,2156.9802
000153,丰原药业,1.0099,356.4709,1.2311,292.4214,0.4252,846.6604
000155,*ST川化,8.8808,40.5369,1.1959,301.0285,0.5607,642.0546
000156,华数传媒,6.4462,55.8469,5.6861,63.3123,0.8287,434.4153
000157,中联重科,1.0096,356.5769,0.6399,562.5879,0.2352,1530.6122
000158,常山股份,4.7374,75.991,1.0309,349.2094,0.3574,1007.2748
000159,国际实业,9.1133,39.5027,0.1483,2427.5118,0.1102,3266.7877
000301,东方市场,1.2268,293.4464,0.65,553.8462,0.2827,1273.4347
000333,美的集团,2.5848,139.2758,1.5882,226.6717,0.5416,664.6972
