code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
000001,平安银行,,,,,,
000002,万科A,88.7906,4.0545,0.4029,893.522,0.3865,931.436
000004,国农科技,53.9117,6.6776,0.3514,1024.4735,0.4079,882.5693
000005,世纪星源,2.2164,162.4256,0.3567,1009.2515,0.165,2181.8182
000006,深振业A,236.3431,1.5232,0.3139,1146.8621,0.3664,982.5328
000007,全新好,2.2501,159.9929,1.319,272.934,0.2645,1361.0586
000008,神州高铁,3.4586,104.0884,4.2828,84.0572,1.3721,262.3715
000009,中国宝安,5.4957,65.5058,0.5243,686.6298,0.429,839.1608
000010,美丽生态,4.0403,89.1023,0.9616,374.376,0.4626,778.2101
000011,深物业A,32.9701,10.919,0.2708,1329.3944,0.3143,1145.4025
000012,南玻A,19.2701,18.6818,15.7198,22.9011,4.2066,85.5798
000014,沙河股份,87.7939,4.1005,0.1331,2704.7333,0.2055,1751.8248
000016,深康佳A,8.5398,42.1556,4.7313,76.089,1.5702,229.2702
000017,深中华A,21.3921,16.8286,31.1675,11.5505,3.9221,91.7876
000018,神州长城,3.409,105.6028,18.8245,19.124,2.0783,173.2185
000019,深深宝A,3.777,95.3137,1.618,222.4969,0.6869,524.0938
000020,深华发A,4.4917,80.1478,14.4108,24.9813,0.5404,666.1732
000021,深科技,8.0083,44.9534,19.2358,18.7151,1.3922,258.5835
000022,深赤湾A,9.5381,37.7434,55.1087,6.5325,2.2312,161.3482
000023,深天地A,1.5934,225.932,1.8819,191.296,0.7643,471.0192
000025,特力A,313.8793,1.1469,6.7741,53.1436,1.1844,303.9514
000026,飞亚达A,9.6408,37.3413,0.9131,394.2613,1.0802,333.2716
000027,深圳能源,4.1962,85.7919,6.0411,59.5918,0.7853,458.4235
000028,国药一致,3.9467,91.2154,9.8742,36.4586,2.3415,153.7476
000029,深深房A,21.9706,16.3855,0.5623,640.2276,0.5887,611.5169
000030,富奥股份,3.8877,92.5997,6.0763,59.2466,1.2391,290.5335
000031,中粮地产,69.7471,5.1615,0.2813,1279.7725,0.2993,1202.8065
000032,深桑达A,13.2097,27.2527,5.5611,64.7354,1.6317,220.6288
000033,*ST新都,22.1502,16.2527,20.9773,17.1614,0.516,697.6744
000034,神州数码,19.8809,18.1078,4.1793,86.1388,1.5162,237.4357
000035,中国天楹,6.7043,53.6969,7.2569,49.608,1.0672,337.3313
000036,华联控股,126.0306,2.8564,0.0413,8716.707,0.0922,3904.5553
000037,*ST南电A,2.9621,121.5354,1.5253,236.0191,0.4672,770.5479
000038,深大通,509.0514,0.7072,0.3818,942.902,0.4334,830.6414
000039,中集集团,5.2995,67.9309,2.8973,124.2536,1.3232,272.0677
000040,东旭蓝天,43.7099,8.2361,0.3421,1052.3239,0.3229,1114.8963
000042,中洲控股,109.1299,3.2988,0.2034,1769.9115,0.2843,1266.268
000043,中航地产,14.4003,24.9995,0.3859,932.8842,0.3928,916.4969
000045,深纺织A,7.2398,49.7251,4.236,84.9858,0.7063,509.6984
000046,泛海控股,6.9071,52.1203,0.1106,3254.9729,0.1181,3048.2642
000048,康达尔,54.7278,6.578,4.6104,78.0843,1.8633,193.2056
000049,德赛电池,5.2623,68.4112,11.136,32.3276,2.2713,158.4995
000050,深天马A,4.7362,76.0103,6.087,59.1424,1.2871,279.6985
000055,方大集团,2.0315,177.209,1.8647,193.0605,0.8404,428.3674
000056,皇庭国际,6.7886,53.0301,4.0578,88.718,1.7176,209.5948
000058,深赛格,5.2206,68.9576,1.6954,212.3393,0.5163,697.269
000059,华锦股份,125.2558,2.8741,6.3746,56.4741,3.1673,113.6615
000060,中金岭南,50.8051,7.0859,8.4157,42.7772,3.7624,95.6836
000061,农产品,24.0673,14.9581,3.4903,103.143,0.6216,579.1506
000062,深圳华强,5.6794,63.387,2.104,171.1027,0.9266,388.5172
000063,中兴通讯,3.9753,90.5592,3.5144,102.4357,1.1287,318.951
000065,北方国际,6.3949,56.2949,10.5758,34.04,0.8668,415.3207
000066,中国长城,6.2123,57.9496,7.448,48.3351,2.3898,150.6402
000068,华控赛格,1.9138,188.1074,28.5032,12.6302,0.6156,584.7953
000069,华侨城A,63.8815,5.6354,0.3145,1144.6741,0.4381,821.7302
000070,特发信息,2.7619,130.3451,2.7387,131.4492,1.1132,323.392
000078,海王生物,2.3379,153.9843,9.1767,39.2298,1.1637,309.3581
000088,盐田港,8.765,41.0724,,,0.165,2181.8182
000089,深圳机场,8.3656,43.0334,471.1951,0.764,1.2835,280.4831
000090,天健集团,14.4718,24.876,0.7376,488.0694,0.5739,627.287
000096,广聚能源,405.745,0.8873,112.0154,3.2138,0.8751,411.3816
000099,中信海直,3.7189,96.8028,2.2756,158.2,0.973,369.9897
000100,TCL集团,7.8582,45.812,9.4607,38.0522,1.9149,187.9994
000150,宜华健康,8.7875,40.9673,0.3385,1063.5155,0.3484,1033.2951
000151,中成股份,15.6092,23.0633,11.4057,31.5632,0.5018,717.4173
000153,丰原药业,3.8916,92.5069,4.3381,82.9856,1.6429,219.1247
000155,*ST川化,9.0518,39.7711,5.2282,68.8574,0.8198,439.1315
000156,华数传媒,7.2061,49.9577,35.6857,10.0881,0.6287,572.6101
000157,中联重科,0.6897,521.9661,1.2385,290.6742,0.2792,1289.3983
000158,常山股份,13.5764,26.5166,4.8644,74.0071,2.0469,175.8757
000159,国际实业,5.5087,65.3512,0.6891,522.4205,0.3549,1014.3702
000166,申万宏源,,,,,,
000301,东方市场,16.9491,21.2401,0.6649,541.4348,0.537,670.3911
000333,美的集团,14.0309,25.6577,8.0618,44.655,1.54,233.7662
000338,潍柴动力,7.9113,45.5045,4.6417,77.5578,1.2073,298.186
000400,许继电气,1.0644,338.2187,2.8866,124.7142,0.7206,499.5837
000401,冀东水泥,6.8429,52.6093,5.1863,69.4136,1.159,310.6126
000402,金融街,12.4123,29.0035,0.1884,1910.828,0.206,1747.5728
000403,ST生化,294.7377,1.2214,0.9205,391.0918,1.3254,271.6161
000404,华意压缩,5.3445,67.359,6.9325,51.9293,1.3648,263.7749
000407,胜利股份,8.1687,44.0707,5.3167,67.7112,1.4336,251.1161
000408,*ST金源,1.2059,298.5322,,,0.3226,1115.933
000409,山东地矿,15.6205,23.0466,5.5795,64.5219,1.9205,187.4512
000410,沈阳机床,0.8258,435.9409,0.7299,493.2182,0.3604,998.8901
000411,英特集团,6.0709,59.2993,9.897,36.3747,3.0419,118.3471
000413,东旭光电,5.5315,65.0818,2.0814,172.9605,0.3651,986.0312
000415,渤海金控,10.7619,33.4513,2522.7885,0.1427,0.3506,1026.8112
000416,民生控股,52.395,6.8709,11.5377,31.2021,0.1961,1835.7981
000417,合肥百货,219.8843,1.6372,8.4718,42.4939,2.1006,171.3796
000418,小天鹅A,14.9869,24.021,14.2801,25.2099,1.1648,309.0659
000419,通程控股,402.4966,0.8944,8.6775,41.4866,2.0554,175.1484
000420,吉林化纤,11.2028,32.1348,4.694,76.6937,1.0215,352.4229
000421,南京公用,21.6146,16.6554,7.1046,50.6714,1.9982,180.1621
000422,湖北宜化,28.791,12.5039,3.6433,98.8115,1.4392,250.139
000423,东阿阿胶,25.6933,14.0114,1.2093,297.6929,0.919,391.7301
000425,徐工机械,0.8753,411.2876,1.9674,182.9826,0.4806,749.0637
000426,兴业矿业,9.7158,37.053,2.276,158.1722,1.4382,250.3129
000428,华天酒店,13.2673,27.1344,0.2451,1468.7882,0.3662,983.0694
000429,粤高速A,43.0685,8.3588,1083.6296,0.3322,1.8083,199.082
000430,张家界,242.8693,1.4823,77.3802,4.6524,6.2926,57.2101
000488,晨鸣纸业,5.4409,66.1655,2.7775,129.613,0.6893,522.269
000498,山东路桥,2.3341,154.235,1.7771,202.5772,0.803,448.3188
000501,鄂武商A,1749.8387,0.2057,15.3002,23.5291,4.2342,85.022
000502,绿景控股,6.4467,55.8425,0.0791,4551.201,0.0649,5546.9954
000503,海虹控股,64.8585,5.5505,215.2832,1.6722,0.1658,2171.2907
000504,*ST生物,1.8099,198.906,189.0707,1.904,0.2762,1303.4033
000505,*ST珠江,18.0817,19.9096,0.4543,792.4279,0.2695,1335.8071
000506,中润资源,51.7499,6.9565,0.8541,421.4963,0.5907,609.4464
000507,珠海港,7.6888,46.8214,20.1494,17.8665,1.892,190.2748
000509,华塑控股,3.259,110.4633,1.0235,351.7342,0.4579,786.1979
000510,金路集团,119.0202,3.0247,13.2598,27.1497,3.4895,103.1666
000511,*ST烯碳,15.3704,23.4216,0.7806,461.1837,0.4106,876.7657
000513,丽珠集团,5.6853,63.3212,2.8124,128.0046,1.9634,183.3554
000514,渝开发,23.8866,15.0712,0.234,1538.4615,0.2211,1628.2225
000516,国际医学,88.6722,4.0599,66.7198,5.3957,1.9488,184.7291
000517,荣安地产,29.6265,12.1513,0.1634,2203.1824,0.1788,2013.4228
000518,四环生物,2.5907,138.9586,0.708,508.4746,0.601,599.0017
000519,中兵红箭,3.0348,118.624,0.7573,475.373,0.5986,601.4033
000520,长航凤凰,4.3965,81.8833,34.0313,10.5785,2.0685,174.0392
000521,美菱电器,8.3459,43.135,5.0273,71.609,1.5107,238.3001
000523,广州浪奇,6.8235,52.7588,13.0602,27.5647,3.1684,113.622
000524,岭南控股,21.029,17.1192,26.7383,13.4638,1.5878,226.7288
000525,红太阳,7.443,48.3676,2.0639,174.4271,1.0475,343.6754
000526,*ST紫学,2.1137,170.3175,,,0.3017,1193.2383
000528,柳工,2.0108,179.0332,1.5994,225.0844,0.4711,764.169
000529,广弘控股,93.0741,3.8679,12.3332,29.1895,2.1758,165.4564
000530,大冷股份,2.8956,124.3266,4.5641,78.8764,1.2049,298.78
000531,穗恒运A,12.3508,29.1479,2.6247,137.1585,1.0788,333.7041
000532,力合股份,3.446,104.4689,1.7961,200.4343,0.5681,633.6913
