code,name,arturnover,arturndays,inventory_turnover,inventory_days,currentasset_turnover,currentasset_days
000001,平安银行,4.9219,73.1425,,,,
000002,万科A,59.758,6.0243,0.3922,917.899,0.401,897.7556
000004,国农科技,10.1349,35.5208,0.5347,673.2747,0.4688,767.9181
000005,世纪星源,4.6026,78.2167,0.6387,563.6449,0.1843,1953.337
000006,深振业A,6488.5467,0.0555,0.2184,1648.3516,0.3242,1110.4257
000007,全新好,25.787,13.9605,1.4282,252.0655,0.6689,538.197
000008,神州高铁,8084.9773,0.0445,,,0.2277,1581.0277
000009,中国宝安,10.6174,33.9066,0.965,373.057,0.6955,517.6132
000010,美丽生态,2.1957,163.9568,1.535,234.5277,0.8711,413.2706
000011,深物业A,12.4736,28.861,0.3585,1004.1841,0.4426,813.3755
000012,南玻A,20.1304,17.8834,9.8582,36.5178,3.022,119.1264
000014,沙河股份,140.737,2.558,0.2886,1247.4012,0.4467,805.91
000016,深康佳A,10.0893,35.6814,3.4998,102.863,1.2888,279.3296
000017,深中华A,653.2039,0.5511,7.2337,49.7671,2.8957,124.3223
000018,神州长城,10.6983,33.6502,10.3611,34.7453,0.4146,868.3068
000019,深深宝A,5.2932,68.0118,2.9604,121.6052,1.0148,354.7497
000020,深华发A,3.4235,105.1555,9.2851,38.7718,1.5849,227.1437
000021,深科技,14.9541,24.0737,35.0144,10.2815,4.4543,80.8208
000022,深赤湾A,8.2594,43.5867,25.5169,14.1083,1.5891,226.5433
000023,深天地A,4.0788,88.2613,1.8221,197.5742,1.1963,300.9279
000025,特力A,39.7325,9.0606,10.4222,34.5417,3.1619,113.8556
000026,飞亚达A,11.1215,32.3697,1.1525,312.3644,1.2768,281.9549
000027,深圳能源,8.0268,44.8498,8.1268,44.2979,1.5021,239.6645
000028,国药一致,5.2578,68.4697,12.2241,29.45,2.9101,123.7071
000029,深深房A,50.569,7.119,0.3522,1022.1465,0.3833,939.2121
000030,富奥股份,,,0.0,,0.1117,3222.9185
000031,中粮地产,27.0111,13.3279,0.2254,1597.1606,0.2588,1391.0355
000032,深桑达A,10.1179,35.5805,1.877,191.7954,1.2534,287.2188
000033,*ST新都,4.1137,87.5125,24.4728,14.7102,0.9912,363.1961
000034,神州数码,20.7838,17.3212,6.5685,54.807,2.867,125.5668
000035,中国天楹,0.4112,875.4864,,,0.0994,3621.7304
000036,华联控股,1270.5182,0.2833,0.6412,561.4473,0.7821,460.2992
000037,*ST南电A,5.4966,65.495,1.4709,244.7481,0.8835,407.4703
000038,深大通,,,0.2397,1501.8773,0.2817,1277.9553
000039,中集集团,5.0831,70.8229,2.3859,150.8865,1.0406,345.9543
000040,东旭蓝天,93.0087,3.8706,0.4223,852.4745,0.4496,800.7117
000042,中洲控股,32.1862,11.1849,0.3795,948.6166,0.4722,762.3888
000043,中航地产,14.9045,24.1538,0.3678,978.7928,0.3812,944.3861
000045,深纺织A,21.621,16.6505,14.7192,24.4579,2.5531,141.0051
000046,泛海控股,34.7423,10.362,0.0827,4353.0834,0.1131,3183.0239
